symbol,direction,address,module,channel,device,description,safe_default,classification
DO_SPARE_09,DO,Q2.6,-A103,22,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_10,DO,Q2.7,-A103,23,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_11,DO,Q3.0,-A103,24,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_12,DO,Q3.1,-A103,25,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_13,DO,Q3.2,-A103,26,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_14,DO,Q3.3,-A103,27,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_15,DO,Q3.4,-A103,28,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_16,DO,Q3.5,-A103,29,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_17,DO,Q3.6,-A103,30,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_18,DO,Q3.7,-A103,31,SPARE,Allocated spare output,FALSE,Standard control
FLOW_1_MA_RAW,AI,IW64,-A104,0,-FT100,Flow channel 1 instantaneous 4–20 mA,0,Standard control
FLOW_2_MA_RAW,AI,IW66,-A104,1,-FT101,Flow channel 2 instantaneous 4–20 mA,0,Standard control
AI_SPARE_01,AI,IW68,-A104,2,SPARE,Allocated spare analog input,0,Standard control
AI_SPARE_02,AI,IW70,-A104,3,SPARE,Allocated spare analog input,0,Standard control
AI_SPARE_03,AI,IW72,-A104,4,SPARE,Allocated spare analog input,0,Standard control
AI_SPARE_04,AI,IW74,-A104,5,SPARE,Allocated spare analog input,0,Standard control
AI_SPARE_05,AI,IW76,-A104,6,SPARE,Allocated spare analog input,0,Standard control
AI_SPARE_06,AI,IW78,-A104,7,SPARE,Allocated spare analog input,0,Standard control
FLOW_1_PULSE,HSC,TM1.CH0.A,-A101,CH0 A,-FT100,24 V pulse input channel 1,0,Standard control
FLOW_2_PULSE,HSC,TM1.CH1.A,-A101,CH1 A,-FT101,24 V pulse input channel 2,0,Standard control
